,time,r,p0,p1,p2,p3,p4,p5,p6,p7,p8,p9,p10,p11,p12,p13,p14,p15,p16,p17,p18,p19
0,0,585.5,0.015999999999999945,0.0020000000000000282,0.005999999999999943,0.0020000000000000282,0.0040000000000000565,0.007999999999999972,1.0553799999968305e-05,0.007999999999999972,0.01,0.012000000000000028,0.0020000000000000282,0.007999999999999972,0.01,0.005999999999999943,0.014000000000000058,0.0020000000000000282,9.719499999931713e-06,0.007999999999999972,0.015999999999999945,0.007999999999999972
1,1,305.0,1.0570099999966943e-05,1.2744699999984732e-05,6.251100000014276e-06,6.804500000043845e-06,5.894999999895845e-06,7.758899999998903e-06,7.944999999978109e-06,6.487299999946572e-06,6.272800000033385e-06,6.016899999963243e-06,9.965099999931227e-06,5.4119999998647475e-06,8.59149999996589e-06,1.090739999995094e-05,9.48519999994346e-06,1.3150099999847952e-05,8.353999999997086e-06,7.755500000001803e-06,8.136799999931554e-06,6.141999999869086e-06
2,2,253.0,5.507399999942209e-06,5.601799999936929e-06,6.184100000012904e-06,7.830299999938006e-06,8.029399999998077e-06,1.0465399999901591e-05,6.325500000059492e-06,7.983899999999266e-06,6.017199999917011e-06,9.470299999918552e-06,6.1105999999711005e-06,8.288399999969443e-06,5.8304999998881615e-06,8.788800000019137e-06,9.772500000053697e-06,6.126399999999421e-06,5.923699999925702e-06,9.398199999992584e-06,5.482899999975643e-06,6.132099999973662e-06
3,3,195.0,6.0387999999989e-06,6.486500000022488e-06,5.561299999925495e-06,5.688199999838162e-06,1.0798200000010638e-05,6.720299999898316e-06,5.416300000007368e-06,7.90499999993699e-06,1.2171700000038754e-05,6.136499999911393e-06,5.653099999989308e-06,5.402799999956187e-06,6.267800000046009e-06,5.76330000001235e-06,8.23740000001294e-06,6.760499999955982e-06,5.405199999870547e-06,5.497399999967456e-06,8.620799999903283e-06,5.4088000000263035e-06
4,4,175.0,5.523800000020173e-06,5.399699999912855e-06,5.8140000000150845e-06,5.855200000013383e-06,1.2969699999985096e-05,5.511299999909624e-06,6.168799999954899e-06,5.562099999849579e-06,5.446099999915078e-06,6.356199999970613e-06,6.109099999918044e-06,5.704499999978907e-06,5.4160999999908196e-06,5.607100000020182e-06,6.3451999999131205e-06,8.49139999985482e-06,7.39600000002838e-06,7.879300000013245e-06,5.411799999848199e-06,1.132869999992181e-05
5,5,266.0,5.789899999939508e-06,5.745499999960657e-06,1.161319999994248e-05,5.400799999932815e-06,7.041399999963005e-06,8.870300000012321e-06,9.043199999894114e-06,8.212199999917401e-06,5.402899999893407e-06,5.6716999999650856e-06,7.543999999910511e-06,5.620499999992034e-06,5.940499999894655e-06,6.1449999999751985e-06,1.4893000000029132e-05,5.665399999941201e-06,6.700199999869483e-06,7.595099999946342e-06,1.1784499999976106e-05,1.191950000006159e-05
6,6,271.0,7.259399999952621e-06,7.618199999939179e-06,6.2746999999774285e-06,7.852100000036443e-06,7.634899999970912e-06,1.0526899999945272e-05,6.891799999948489e-06,9.562299999998914e-06,5.400599999916267e-06,5.477099999922075e-06,6.615199999941979e-06,7.103800000010096e-06,6.829499999980726e-06,8.892799999955514e-06,5.4119999998647475e-06,6.250400000027412e-06,1.0963599999911366e-05,5.540799999863566e-06,7.454899999999043e-06,8.754999999922574e-06
7,7,271.0,1.0732599999982994e-05,5.520099999927197e-06,5.401399999982459e-06,9.834599999862803e-06,1.2954900000039516e-05,6.7129999999338e-06,6.482499999975744e-06,7.348399999926869e-06,6.306799999862278e-06,1.0185200000023543e-05,8.383800000046905e-06,6.938700000063136e-06,6.4602999999863185e-06,8.382999999980712e-06,5.407899999880783e-06,5.4386999998712325e-06,9.095299999870576e-06,7.920299999994995e-06,6.7622000000255866e-06,9.962799999954086e-06
8,8,333.0,8.170400000011568e-06,1.5270600000008015e-05,9.132799999918007e-06,6.621099999932767e-06,6.592699999856677e-06,7.416899999981297e-06,7.566200000042045e-06,1.1686399999888409e-05,5.928300000022091e-06,1.2569799999937458e-05,7.59070000000861e-06,1.1323199999964118e-05,1.2041999999894415e-05,5.550599999963879e-06,6.634699999921168e-06,7.371800000015582e-06,5.477299999938623e-06,8.788099999890165e-06,1.003759999989029e-05,7.772700000003852e-06
9,9,236.0,6.090999999912583e-06,7.178099999975984e-06,5.951899999985244e-06,5.463399999996454e-06,5.84529999997585e-06,5.585499999938293e-06,5.573400000002948e-06,6.431799999973009e-06,8.94109999990178e-06,6.25069999998118e-06,5.448099999938449e-06,7.140199999895458e-06,1.15278999999191e-05,5.618099999935567e-06,8.393599999863e-06,6.6391000000010085e-06,8.348700000055942e-06,5.91470000003369e-06,1.0768299999881492e-05,1.1390999999889572e-05
