,time,r,p0,p1,p2,p3,p4,p5,p6,p7,p8,p9,p10,p11,p12,p13,p14,p15,p16,p17,p18,p19
0,0,565.0,0.015999999999999945,0.0020000000000000282,0.005999999999999943,0.0020000000000000282,0.0040000000000000565,0.007999999999999972,1.0376000000036357e-05,0.007999999999999972,0.01,0.012000000000000028,0.0020000000000000282,0.005999999999999943,0.01,0.005999999999999943,0.014000000000000058,0.0020000000000000282,9.310199999958967e-06,0.007999999999999972,0.015999999999999945,0.007999999999999972
1,1,263.0,9.614499999912596e-06,7.422599999955537e-06,7.571599999920409e-06,8.143299999971987e-06,5.878199999926892e-06,7.757499999883067e-06,8.085399999941955e-06,6.801899999970828e-06,5.8217000000126975e-06,5.7259999999814685e-06,1.1146100000019033e-05,5.41150000003654e-06,7.376899999940179e-06,1.1143699999962564e-05,6.495099999881404e-06,1.0348099999930582e-05,6.141999999869086e-06,7.612099999931843e-06,6.60139999993703e-06,5.563699999981964e-06
2,2,251.0,5.513400000012325e-06,5.603500000006534e-06,6.2745999998981e-06,7.90850000001342e-06,8.27160000000049e-06,1.0743800000057036e-05,6.313499999919259e-06,7.725899999968533e-06,6.048799999973653e-06,9.58089999997469e-06,6.137699999868573e-06,8.658299999950714e-06,5.839899999955378e-06,8.794499999851268e-06,9.705699999926765e-06,6.0759999999504544e-06,5.953999999945836e-06,9.458199999983207e-06,5.474399999911839e-06,6.124599999992597e-06
3,3,197.0,6.071499999933394e-06,6.490500000069232e-06,5.5598000000145475e-06,5.69629999986887e-06,1.0738099999940687e-05,6.571199999854116e-06,5.415099999908079e-06,7.945599999885644e-06,1.215979999997785e-05,6.133799999901157e-06,5.666499999961161e-06,5.402699999876859e-06,6.2830999999619056e-06,5.7726000000002384e-06,8.358899999905135e-06,6.753799999899002e-06,5.404799999979559e-06,5.495499999881304e-06,8.455099999906679e-06,5.408399999993207e-06
4,4,180.5,5.524000000036721e-06,5.399699999912855e-06,5.825899999933881e-06,5.833700000010822e-06,1.3001299999899629e-05,5.5048000000113005e-06,6.1239000000057335e-06,5.571599999854016e-06,5.446299999931626e-06,6.3975000000482395e-06,6.134900000063226e-06,5.7047999999326744e-06,5.415400000003956e-06,5.603500000006534e-06,6.369799999959014e-06,8.616899999935868e-06,7.4766000000181525e-06,7.828999999901498e-06,5.411300000019992e-06,1.135939999997504e-05
5,5,260.0,5.786899999975503e-06,5.742799999950421e-06,1.1654300000003559e-05,5.400699999995595e-06,6.921899999952075e-06,9.081699999882176e-06,8.961999999996807e-06,8.295199999963643e-06,5.402799999956187e-06,5.661799999927552e-06,7.593200000002298e-06,5.625900000012507e-06,5.9441000000504116e-06,6.188799999904404e-06,1.4890499999893336e-05,5.656799999940176e-06,6.646299999886196e-06,7.641499999948564e-06,1.1803199999889102e-05,1.175660000001244e-05
6,6,254.0,7.197399999938625e-06,7.700199999902679e-06,6.298799999910898e-06,7.666899999918542e-06,7.660600000036765e-06,1.0673599999933004e-05,6.94979999991574e-06,9.592600000019047e-06,5.400599999916267e-06,5.473499999908427e-06,6.568700000002536e-06,7.201199999968821e-06,6.80399999993142e-06,8.982899999949724e-06,5.411799999848199e-06,6.286200000005237e-06,1.1000699999925701e-05,5.540100000018811e-06,7.3954999999159554e-06,8.912400000014032e-06
7,7,264.0,1.0628799999921057e-05,5.524999999977353e-06,5.401399999982459e-06,9.82129999997028e-06,1.3063499999930172e-05,6.75509999993551e-06,6.469599999974207e-06,7.401899999877059e-06,6.239699999923687e-06,1.029020000004266e-05,8.36599999999521e-06,6.94979999991574e-06,6.451400000031526e-06,8.535399999942683e-06,5.407099999956699e-06,5.439999999907741e-06,9.127499999976863e-06,7.91849999998817e-06,6.771900000046571e-06,9.905099999940604e-06
8,8,331.0,8.22029999994811e-06,1.4833399999929497e-05,9.159499999924491e-06,6.599200000039218e-06,6.582799999961253e-06,7.39959999989992e-06,7.704999999873507e-06,1.1780199999975593e-05,5.903099999926553e-06,1.2657799999971075e-05,7.243700000003628e-06,1.1387099999922157e-05,1.163949999991587e-05,5.558699999994587e-06,6.771199999917599e-06,7.51789999995367e-06,5.481000000031599e-06,8.452099999942674e-06,1.023109999991334e-05,7.864600000004885e-06
9,9,240.0,6.13340000001017e-06,7.477500000021564e-06,5.9565000000816324e-06,5.471199999931286e-06,5.861699999911707e-06,5.601799999936929e-06,5.574000000052593e-06,6.408499999963624e-06,8.76239999996642e-06,6.283299999978454e-06,5.448099999938449e-06,7.300700000030247e-06,1.083449999995878e-05,5.631100000016431e-06,8.452200000022003e-06,6.569799999880388e-06,8.384099999858562e-06,5.949899999961872e-06,1.1438299999895207e-05,1.1800199999925098e-05
