,time,r,p0,p1,p2,p3,p4,p5,p6,p7,p8,p9,p10,p11,p12,p13,p14,p15,p16,p17,p18,p19
0,0,591.0,0.015999999999999945,0.0020000000000000282,0.005999999999999943,0.0020000000000000282,0.0040000000000000565,0.007999999999999972,1.0724899999985381e-05,0.007999999999999972,0.01,0.012000000000000028,0.0020000000000000282,0.007999999999999972,0.01,0.005999999999999943,0.014000000000000058,0.0020000000000000282,1.0060900000041783e-05,0.007999999999999972,0.015999999999999945,0.007999999999999972
1,1,305.0,9.170199999886109e-06,1.3155699999884973e-05,6.022599999937484e-06,7.02259999997068e-06,6.2114000000690335e-06,7.890699999961725e-06,8.792499999970004e-06,6.401899999985972e-06,6.0960999999792875e-06,5.912700000010318e-06,1.0412500000001046e-05,5.4076000000691235e-06,9.172899999896345e-06,1.0723500000011655e-05,8.348500000039394e-06,1.3670299999972712e-05,8.4674999999379e-06,8.584099999922046e-06,7.924199999962412e-06,5.891200000007757e-06
2,2,254.0,5.470199999990654e-06,5.663599999934376e-06,5.98420000002875e-06,7.322299999970028e-06,8.811400000041659e-06,1.0075600000050145e-05,6.479899999902727e-06,7.734799999923326e-06,6.0129000000586075e-06,1.0270499999904815e-05,5.778700000007575e-06,8.591200000012123e-06,5.840500000005022e-06,8.405699999940452e-06,1.1345499999890762e-05,6.058099999961542e-06,5.690800000053287e-06,9.528100000011363e-06,5.511099999893076e-06,6.897699999939277e-06
3,3,187.0,5.9874999999465216e-06,6.462199999930363e-06,5.5207999999140615e-06,5.619799999863062e-06,9.653200000059314e-06,6.897699999939277e-06,5.421999999981608e-06,7.056599999941682e-06,1.1157400000030293e-05,6.1657999999908956e-06,5.619700000067951e-06,5.405799999920191e-06,6.3446999999428045e-06,6.060399999938681e-06,7.73989999984792e-06,6.5757000000132844e-06,5.41269999999372e-06,5.491299999960119e-06,8.390999999932091e-06,5.4092999999966195e-06
4,4,179.0,5.473999999878743e-06,5.399699999912855e-06,5.90699999989397e-06,6.02979999996478e-06,1.2171500000022206e-05,5.5199999999899776e-06,6.888300000014169e-06,5.514300000015737e-06,5.434099999916953e-06,6.056499999971266e-06,6.38269999996055e-06,5.816500000008773e-06,5.423199999938788e-06,5.656900000019505e-06,6.170999999994819e-06,8.427699999913329e-06,6.856499999940979e-06,8.727699999866444e-06,5.4076000000691235e-06,8.796199999920872e-06
5,5,270.0,5.717399999980443e-06,5.7465999999806175e-06,1.1116299999969214e-05,5.401299999903131e-06,7.56330000001526e-06,8.634299999954465e-06,8.296099999967056e-06,8.84200000001556e-06,5.404300000009244e-06,5.75769999997533e-06,7.52239999997073e-06,5.634099999980435e-06,6.474499999882255e-06,6.867400000061252e-06,1.3131000000043968e-05,5.699900000024627e-06,6.6449000000545766e-06,7.192499999888469e-06,1.2164799999965225e-05,1.1517099999878155e-05
6,6,268.0,8.118399999972326e-06,7.949999999965485e-06,6.184899999936988e-06,7.601599999986775e-06,7.3682999999391545e-06,1.090279999999666e-05,7.056599999941682e-06,9.658099999967362e-06,5.400199999883171e-06,5.488499999870556e-06,6.464499999907503e-06,6.610099999875274e-06,6.6110000000207946e-06,7.733899999919914e-06,5.409399999933839e-06,6.1707000000410515e-06,1.0339299999913009e-05,5.65399999999272e-06,7.942899999875408e-06,8.873099999959778e-06
7,7,275.0,1.1989699999901403e-05,5.49460000002e-06,5.400999999949363e-06,9.873999999996386e-06,1.3409199999898646e-05,6.399100000038516e-06,6.930499999953099e-06,7.1271999999567015e-06,6.485699999956296e-06,1.0089699999866753e-05,8.075299999887875e-06,6.949699999978521e-06,6.40099999998256e-06,8.10219999991091e-06,5.4092999999966195e-06,5.438799999950561e-06,9.07080000004612e-06,7.680899999940038e-06,6.930199999999331e-06,1.026510000002645e-05
8,8,333.0,8.167200000031017e-06,1.735719999999219e-05,9.27359999991495e-06,6.795799999963492e-06,6.573600000052693e-06,7.332199999865452e-06,7.586600000024646e-06,1.0977699999870084e-05,6.129999999870961e-06,1.2187999999895282e-05,7.973999999961735e-06,1.238979999996559e-05,1.3351399999947944e-05,5.52650000003041e-06,6.458299999962946e-06,7.6189000000681514e-06,5.4793999998992145e-06,8.58690000001161e-06,9.55019999992146e-06,7.196999999905529e-06
9,9,244.0,6.129399999963425e-06,7.350999999999885e-06,6.2624999999627566e-06,5.445299999990994e-06,5.80540000001406e-06,5.580499999950916e-06,5.622899999906394e-06,6.627199999940104e-06,9.0014999999255e-06,6.370400000008658e-06,5.446600000027502e-06,7.103599999993548e-06,1.0835899999932507e-05,5.640199999987772e-06,8.580499999908397e-06,6.870699999979024e-06,7.711500000056049e-06,6.012500000025511e-06,1.0924500000015769e-05,1.2402600000029906e-05
