,time,r,p0,p1,p2,p3,p4,p5,p6,p7,p8,p9,p10,p11,p12,p13,p14,p15,p16,p17,p18,p19
0,0,637.0,0.015999999999999945,0.0020000000000000282,0.005999999999999943,0.0040000000000000565,0.0040000000000000565,0.007999999999999972,1.3754199999880256e-05,0.01,0.01,0.012000000000000028,0.0040000000000000565,0.007999999999999972,0.01,0.005999999999999943,0.014000000000000058,0.0020000000000000282,2.0267000000018243e-05,0.007999999999999972,0.015999999999999945,0.01
1,1,408.0,1.2912699999958478e-05,1.1878199999983963e-05,9.360699999945155e-06,9.38050000002022e-06,9.468399999974508e-06,1.5073699999987866e-05,8.171799999985296e-06,9.159300000050052e-06,1.3375300000006973e-05,8.621300000015707e-06,1.5301399999998467e-05,5.510599999922761e-06,7.729099999949085e-06,9.727699999899642e-06,8.8612999999782e-06,2.3210800000015295e-05,1.5647900000033132e-05,9.680399999894007e-06,1.6595999999964304e-05,5.815600000005361e-06
2,2,296.0,1.035969999989561e-05,1.229859999995142e-05,6.095399999992423e-06,1.062379999993368e-05,5.688999999904354e-06,1.22951000000171e-05,5.526799999984178e-06,8.861499999994748e-06,8.186499999993658e-06,5.960799999940037e-06,6.636499999927992e-06,8.241400000059684e-06,9.692599999908679e-06,1.1027200000057746e-05,9.316400000045632e-06,6.817399999903273e-06,6.647200000031717e-06,1.3509399999946937e-05,6.298699999973678e-06,7.101599999970176e-06
3,3,206.0,5.827700000082814e-06,5.455099999949198e-06,8.921199999889495e-06,7.053599999977678e-06,7.2296999999821306e-06,5.527900000004138e-06,5.634599999950751e-06,5.629699999900594e-06,6.9565999999099405e-06,9.198799999978747e-06,6.438699999904429e-06,5.402099999969323e-06,7.154199999916954e-06,7.270599999884553e-06,1.2209399999960623e-05,8.692400000001044e-06,5.768899999907262e-06,6.754099999994878e-06,1.0115599999949154e-05,5.451600000014878e-06
4,4,160.0,5.403899999976148e-06,5.399799999850075e-06,6.335499999892136e-06,5.434299999933501e-06,1.0531899999932647e-05,5.413299999901256e-06,1.5769200000050888e-05,5.5188000000327975e-06,5.406699999923603e-06,6.0565999999084855e-06,5.41380000001368e-06,8.532599999995228e-06,6.498300000004065e-06,6.7636999999365345e-06,7.445499999931826e-06,5.6770999999855575e-06,5.7311000000481725e-06,7.736399999913602e-06,5.45599999995261e-06,7.975900000047887e-06
5,5,290.0,1.19628999999577e-05,1.3838699999979553e-05,6.44750000006411e-06,5.750800000043909e-06,8.979600000031951e-06,1.6953199999960588e-05,5.672499999889169e-06,5.912999999964086e-06,9.108299999951442e-06,8.101800000019921e-06,7.882999999964113e-06,8.986099999930274e-06,7.001500000001215e-06,6.691999999901554e-06,5.434999999920365e-06,1.2080399999945257e-05,8.755599999972219e-06,7.658499999934065e-06,6.869799999975612e-06,8.978099999978895e-06
6,6,215.0,9.987199999983432e-06,6.157999999913954e-06,6.944599999911816e-06,8.584099999922046e-06,8.087599999981875e-06,7.32319999997344e-06,5.642099999931815e-06,6.965400000069621e-06,5.401099999886583e-06,7.616299999995135e-06,5.7136999998874675e-06,6.536200000084591e-06,9.292399999907275e-06,1.2766399999861732e-05,5.42529999989938e-06,7.233399999932999e-06,7.238700000016252e-06,6.2341999999659946e-06,7.69339999990848e-06,7.267499999983329e-06
7,7,227.0,9.858899999954929e-06,5.416900000057012e-06,6.378699999913806e-06,1.2446199999942564e-05,1.1771799999991118e-05,8.327500000007148e-06,6.266899999900488e-06,6.924599999962311e-06,5.703499999896167e-06,1.0908099999937804e-05,7.940899999994144e-06,6.83249999994473e-06,7.329099999964228e-06,7.241200000009939e-06,5.404599999963011e-06,7.392299999935403e-06,5.775399999947695e-06,6.275300000027073e-06,5.972299999967845e-06,6.557399999991276e-06
8,8,281.0,8.831699999944932e-06,1.2683699999911368e-05,1.3089299999933246e-05,1.0817200000019511e-05,5.546900000013011e-06,1.1169499999965638e-05,1.122059999985936e-05,7.732600000025514e-06,6.916299999915055e-06,1.0678799999936928e-05,5.449899999945273e-06,1.3851100000010775e-05,9.532699999965644e-06,5.4088000000263035e-06,5.659499999950413e-06,6.579399999964153e-06,6.013499999966143e-06,5.953299999958972e-06,7.854099999917707e-06,6.847399999969639e-06
9,9,225.0,8.783799999889652e-06,5.9565000000816324e-06,5.547100000029559e-06,5.402799999956187e-06,5.641000000053964e-06,8.249299999931737e-06,6.734199999982593e-06,7.620799999870087e-06,1.2539599999854545e-05,5.7889999999360956e-06,5.448699999988093e-06,8.530499999892528e-06,6.703999999899679e-06,6.717399999871532e-06,9.075899999970715e-06,8.033299999965493e-06,8.98210000002564e-06,8.674900000045227e-06,8.593399999909935e-06,7.923299999959e-06
10,10,248.0,6.03319999996188e-06,6.945300000040788e-06,6.30069999999705e-06,1.0291800000032936e-05,7.578499999993937e-06,6.276900000017349e-06,1.4215899999925341e-05,6.464199999953735e-06,1.2455199999976685e-05,7.371199999965938e-06,6.347000000062053e-06,8.111300000024357e-06,5.937099999897555e-06,5.645999999899232e-06,9.000599999922088e-06,8.125299999903745e-06,8.824599999996963e-06,7.801099999937833e-06,9.549600000013924e-06,5.399899999929403e-06
11,11,197.0,5.578299999910996e-06,6.19139999997742e-06,5.646599999948876e-06,5.955599999936112e-06,5.4514999999355495e-06,9.276399999862406e-06,8.976199999892742e-06,5.925799999886294e-06,8.631599999944228e-06,5.451899999968646e-06,6.056900000004362e-06,7.224999999948523e-06,5.6969999999978424e-06,6.509999999906313e-06,7.406199999877572e-06,8.032300000024861e-06,1.1037799999940035e-05,6.2826999999288094e-06,5.825799999996661e-06,9.363300000018171e-06
12,12,760.0,0.48200000000000004,0.498,0.466,0.498,0.498,0.488,0.514,0.494,0.504,0.47600000000000003,0.45399999999999996,0.47600000000000003,0.48,0.488,0.48200000000000004,0.436,0.47600000000000003,0.51,0.49200000000000005,0.46399999999999997
13,13,207.0,5.5697999999893e-06,5.527199999875165e-06,8.19870000000833e-06,5.454399999962334e-06,7.056399999925134e-06,1.0961599999887994e-05,7.611000000053991e-06,6.487800000058997e-06,6.575299999980188e-06,5.429299999946124e-06,6.188699999967184e-06,7.52469999994787e-06,5.995799999993778e-06,7.751499999955058e-06,6.352899999910733e-06,9.440500000010843e-06,7.781499999879315e-06,6.795099999976628e-06,7.651600000002646e-06,7.5742999999306446e-06
14,14,172.0,7.2989999999606425e-06,1.0561499999965918e-05,5.400699999995595e-06,9.072799999927383e-06,8.290600000009363e-06,6.259599999935972e-06,9.654799999907481e-06,5.453299999942374e-06,5.417899999997644e-06,5.441999999931113e-06,6.451600000048074e-06,1.0162699999938241e-05,5.929499999979271e-06,5.448799999925313e-06,5.836800000054154e-06,6.6096000000470664e-06,6.523699999974042e-06,5.452899999909278e-06,6.498999999990929e-06,6.103900000056228e-06
15,15,213.0,5.808599999994613e-06,1.0685799999947676e-05,8.069600000055743e-06,8.42640000001893e-06,6.892199999981585e-06,8.151600000019243e-06,5.433499999867309e-06,7.4279000000387895e-06,9.350599999891073e-06,7.410300000003645e-06,6.694100000004255e-06,5.869799999942415e-06,6.899099999913005e-06,7.930200000032529e-06,6.528299999928322e-06,6.8390999999223824e-06,6.385100000017019e-06,5.8977999999854095e-06,8.276500000050647e-06,5.76909999992381e-06
16,16,725.0,0.054000000000000055,0.055999999999999946,0.06,0.09400000000000006,0.05,0.06599999999999995,0.08799999999999997,0.06,0.09,0.06400000000000006,0.06400000000000006,0.06599999999999995,0.08400000000000006,0.07400000000000005,0.06799999999999998,0.06599999999999995,0.06,0.07400000000000005,0.08,0.08400000000000006
17,17,346.0,1.1194999999872834e-05,8.486400000009553e-06,7.434599999953661e-06,1.1685900000060201e-05,8.34209999993618e-06,5.658999999980097e-06,1.0947899999962374e-05,1.2141399999876511e-05,1.5593599999874642e-05,1.0419699999886235e-05,5.761500000005526e-06,6.204000000025189e-06,7.557200000007924e-06,1.5358799999916072e-05,8.926199999876871e-06,7.065199999942706e-06,5.934600000045975e-06,1.1667699999975412e-05,1.0083199999968428e-05,1.6446199999933242e-05
18,18,432.0,1.0575599999924634e-05,1.5295500000007677e-05,1.1586699999952543e-05,1.4527099999952497e-05,8.953099999899905e-06,8.467800000033777e-06,1.0962399999954186e-05,8.587700000077802e-06,5.821599999933369e-06,1.582709999993881e-05,1.3946800000042003e-05,1.0533699999939471e-05,1.695429999998055e-05,8.295300000042972e-06,6.802300000003924e-06,1.559139999997683e-05,9.626300000036281e-06,1.316289999991227e-05,1.0084599999942156e-05,1.2441399999971735e-05
19,19,256.0,7.69339999990848e-06,8.047900000036634e-06,9.649699999982887e-06,7.710099999940212e-06,7.788000000061856e-06,1.1361100000044644e-05,5.802999999957592e-06,9.68349999993734e-06,5.645899999962012e-06,9.847700000022996e-06,6.3327999998819e-06,5.587599999898884e-06,7.191099999914741e-06,7.929799999999432e-06,1.2425999999976511e-05,5.8221999999830135e-06,5.827700000082814e-06,9.637999999938529e-06,5.4287000000385885e-06,8.783799999889652e-06
