,time,r,p0,p1,p2,p3,p4,p5,p6,p7,p8,p9,p10,p11,p12,p13,p14,p15,p16,p17,p18,p19
0,0,584.0,0.015999999999999945,0.0020000000000000282,0.0040000000000000565,0.0020000000000000282,0.0040000000000000565,0.007999999999999972,1.0595100000045932e-05,0.007999999999999972,0.01,0.012000000000000028,9.800400000017363e-06,0.005999999999999943,0.01,0.0040000000000000565,0.014000000000000058,0.0020000000000000282,9.898400000025731e-06,0.007999999999999972,0.015999999999999945,0.007999999999999972
1,1,295.0,7.972800000004555e-06,1.0319599999917272e-05,6.397100000015143e-06,7.941699999918228e-06,7.711199999960172e-06,8.28519999998889e-06,8.657199999930754e-06,6.451699999843186e-06,5.856099999874686e-06,5.775300000010475e-06,1.0541199999920536e-05,5.409099999837963e-06,9.073899999947343e-06,1.047709999994595e-05,6.376799999969762e-06,1.3541400000036674e-05,6.799199999960593e-06,8.466099999964172e-06,7.035299999955669e-06,6.5562999999713155e-06
2,2,252.0,5.447399999951585e-06,5.901599999873497e-06,5.706900000035375e-06,7.113000000060765e-06,7.86869999984674e-06,1.096410000002379e-05,7.235599999972919e-06,7.458399999933363e-06,5.8891000000471646e-06,1.011710000000221e-05,5.707199999989143e-06,8.897600000068451e-06,5.88059999998336e-06,9.215999999980796e-06,1.0693699999961837e-05,6.138099999901669e-06,5.609099999901445e-06,8.58709999988605e-06,5.57329999992362e-06,7.376499999907083e-06
3,3,214.0,5.958299999946348e-06,6.891700000011269e-06,5.608199999898033e-06,5.771999999950594e-06,8.299499999964154e-06,8.000799999905439e-06,5.419299999971372e-06,8.490499999993518e-06,1.2722499999995306e-05,6.248099999908163e-06,5.774899999977379e-06,5.402599999939639e-06,6.771999999983791e-06,6.1990000000378135e-06,7.705099999952836e-06,7.3460000000125095e-06,5.408199999976659e-06,5.516100000022561e-06,8.40490000001637e-06,5.411199999940664e-06
4,4,198.0,5.46059999990689e-06,5.399699999912855e-06,5.869599999925867e-06,5.6216000000119945e-06,1.131959999995047e-05,5.456299999906378e-06,7.0183999999073875e-06,5.539299999952618e-06,5.431299999969497e-06,6.9141999999544625e-06,6.966099999914377e-06,6.06380000007789e-06,5.419700000004468e-06,5.618200000014895e-06,6.732199999959221e-06,9.08579999986614e-06,6.7613000000221744e-06,8.504599999952234e-06,5.409399999933839e-06,1.0969300000027715e-05
5,5,283.0,5.715099999861195e-06,5.865599999879123e-06,1.0363600000005135e-05,5.401099999886583e-06,8.795800000029885e-06,1.0446200000018279e-05,7.5051999999686815e-06,8.743599999974095e-06,5.408499999930427e-06,5.948599999925364e-06,6.897299999906181e-06,5.735299999969357e-06,8.693799999974772e-06,8.861000000024432e-06,9.907799999950838e-06,5.870600000008608e-06,6.868600000018432e-06,6.8231000000196215e-06,1.1314300000009325e-05,1.0603699999904848e-05
6,6,252.0,9.306099999975005e-06,9.409500000003846e-06,6.316499999883262e-06,7.803900000027398e-06,6.609900000000834e-06,1.3639499999982264e-05,7.870099999962576e-06,8.006899999912775e-06,5.399799999850075e-06,5.6075000000532785e-06,6.10609999995404e-06,6.386799999944515e-06,6.094299999972463e-06,7.5400999999430955e-06,5.407499999989795e-06,6.068799999923158e-06,8.000699999968219e-06,6.618199999905982e-06,8.08140000003732e-06,8.934800000020005e-06
7,7,279.0,1.076739999987808e-05,5.4443999999875816e-06,5.401099999886583e-06,9.563100000065106e-06,1.1859399999991638e-05,6.3032999999279584e-06,7.68529999987777e-06,7.3530000000232576e-06,6.26659999994672e-06,1.123870000000693e-05,7.520799999980454e-06,7.431100000019342e-06,6.785500000034972e-06,7.533100000074455e-06,5.412499999977172e-06,5.459700000045586e-06,9.827399999977615e-06,7.520399999947358e-06,7.358299999964401e-06,9.134199999891734e-06
8,8,324.0,8.115100000054554e-06,1.5260899999987032e-05,8.939899999944601e-06,7.2037999998997295e-06,6.37829999988071e-06,7.142999999985023e-06,7.328099999881488e-06,1.0910000000023956e-05,6.607799999898134e-06,1.1796799999927997e-05,6.25189999993836e-06,1.3320300000003727e-05,1.1672799999900007e-05,5.540100000018811e-06,6.458299999962946e-06,7.471899999984544e-06,5.483599999962507e-06,8.82279999984803e-06,8.624199999900383e-06,7.539799999989328e-06
9,9,252.0,6.139999999987822e-06,7.59309999992297e-06,6.340799999975388e-06,5.447700000047462e-06,5.75549999993541e-06,5.631599999986747e-06,5.607899999944266e-06,6.848999999959915e-06,9.526799999974855e-06,6.496299999980693e-06,5.448299999954997e-06,7.009800000048472e-06,9.674599999982547e-06,5.631300000032979e-06,8.838600000018459e-06,6.8242999999768015e-06,8.059299999985115e-06,5.986199999910013e-06,9.9976999999285e-06,1.292259999999601e-05
10,10,327.0,7.610299999925019e-06,1.0205699999943364e-05,5.491799999930435e-06,1.0180400000052714e-05,8.311799999916048e-06,6.0827999999446545e-06,8.742599999891354e-06,5.8556999999836985e-06,6.739600000003065e-06,8.188099999983934e-06,6.233399999899802e-06,6.708099999883643e-06,5.584199999901785e-06,1.1674599999906831e-05,7.255200000031436e-06,1.246140000006335e-05,9.955999999959885e-06,8.588999999972202e-06,1.0267299999924262e-05,7.761899999962906e-06
