,day,index,sample size
0,0,0,3495
1,0.5,1,1220
2,1,2,1402
3,1.5,3,1639
4,2,4,4360
5,2.5,5,3184
6,3,6,3673
7,3.5,7,4626
8,4,8,4085
9,4.5,9,3551
10,5,10,4018
11,5.5,11,3338
12,6,12,5554
13,6.5,13,535
14,7,14,3138
15,7.5,15,2591
16,8,16,1879
17,8.25,17,1549
18,8.5,18,1654
19,8.75,19,1616
20,9,20,1840
21,9.5,21,1156
22,10,22,1291
23,10.5,23,964
24,11,24,1407
25,11.5,25,1178
26,12,26,1106
27,12.5,27,1052
28,13,28,980
29,13.5,29,1250
30,14,30,2032
31,14.5,31,1340
32,15,32,1766
33,15.5,33,2295
34,16,34,1749
35,16.5,35,2347
36,17,36,1560
37,17.5,37,1956
38,18,38,1898
