,,,eta=0.5,eta=0.5,eta=0.5,eta=1,eta=1,eta=1
,,,precision,recall,f-score,precision,recall,f-score
n=500,nu=0.05,OT,0.976(0.065),0.99(0.049),0.981(0.044),1.0(0.0),1.0(0.0),1.0(0.0)
n=500,nu=0.05,MN,0.592(0.105),0.95(0.112),0.724(0.097),0.604(0.087),1.0(0.0),0.749(0.067)
n=500,nu=0.05,ECP,0.661(0.117),1.0(0.0),0.789(0.089),0.67(0.139),1.0(0.0),0.794(0.1)
n=500,nu=0.1,OT,0.928(0.096),1.0(0.0),0.96(0.053),1.0(0.0),1.0(0.0),1.0(0.0)
n=500,nu=0.1,MN,0.362(0.076),0.795(0.216),0.494(0.11),0.507(0.048),1.0(0.0),0.672(0.042)
n=500,nu=0.1,ECP,0.459(0.059),1.0(0.0),0.627(0.052),0.457(0.087),1.0(0.0),0.624(0.064)
n=1000,nu=0.05,OT,0.988(0.047),1.0(0.0),0.993(0.026),1.0(0.0),1.0(0.0),1.0(0.0)
n=1000,nu=0.05,MN,0.505(0.069),1.0(0.0),0.668(0.062),0.512(0.049),1.0(0.0),0.676(0.043)
n=1000,nu=0.05,ECP,0.513(0.102),1.0(0.0),0.673(0.084),0.519(0.125),1.0(0.0),0.675(0.097)
n=1000,nu=0.1,OT,0.94(0.092),0.995(0.035),0.964(0.053),1.0(0.0),1.0(0.0),1.0(0.0)
n=1000,nu=0.1,MN,0.352(0.041),0.96(0.092),0.514(0.054),0.413(0.053),1.0(0.0),0.583(0.052)
n=1000,nu=0.1,ECP,0.439(0.019),1.0(0.0),0.61(0.019),0.45(0.046),1.0(0.0),0.619(0.039)
