index,day,sample size,index,day,sample size,index,day,sample size,index,day,sample size
0,0,4556,10,5,7227,20,10,3931,30,15,8199
1,0.5,3449,11,5.5,6550,21,10.5,3396,31,15.5,12416
2,1,3648,12,6,8422,22,11,3579,32,16,9613
3,1.5,1956,13,6.5,3111,23,11.5,3543,33,16.5,11455
4,2,6981,14,7,6507,24,12,3868,34,17,8110
5,2.5,6734,15,7.5,5061,25,12.5,3610,35,17.5,8118
6,3,6777,16,8,3815,26,13,3443,36,18,7436
7,3.5,7355,17,8.5,6400,27,13.5,3637,,,
8,4,8962,18,9,5016,28,14,7594,,,
9,4.5,7127,19,9.5,3849,29,14.5,6849,,,
