,,,eta=0.25,eta=0.25,eta=0.25,eta=0.75,eta=0.75,eta=0.75
,,,precision,recall,f-score,precision,recall,f-score
n=250,nu=0.25,OT,0.681(0.205),0.667(0.244),0.661(0.203),1.0(0.0),1.0(0.0),1.0(0.0)
n=250,nu=0.25,MN,0.128(0.029),0.7(0.187),0.216(0.049),0.174(0.021),0.992(0.045),0.296(0.031)
n=250,nu=0.25,ECP,0.247(0.237),0.292(0.267),0.255(0.222),0.503(0.15),0.525(0.163),0.513(0.154)
n=250,nu=0.75,OT,0.98(0.06),0.958(0.113),0.963(0.075),1.0(0.0),1.0(0.0),1.0(0.0)
n=250,nu=0.75,MN,0.103(0.03),0.425(0.115),0.166(0.047),0.135(0.034),0.692(0.179),0.225(0.056)
n=250,nu=0.75,ECP,0.245(0.084),0.392(0.124),0.301(0.099),0.234(0.178),0.275(0.217),0.251(0.193)
n=1000,nu=0.25,OT,0.634(0.189),0.567(0.182),0.587(0.158),1.0(0.0),1.0(0.0),1.0(0.0)
n=1000,nu=0.25,MN,0.111(0.024),0.683(0.17),0.191(0.041),0.138(0.014),1.0(0.0),0.242(0.022)
n=1000,nu=0.25,ECP,0.304(0.107),0.458(0.159),0.365(0.127),0.489(0.073),0.533(0.085),0.507(0.066)
n=1000,nu=0.75,OT,1.0(0.0),0.983(0.062),0.99(0.036),1.0(0.0),1.0(0.0),1.0(0.0)
n=1000,nu=0.75,MN,0.095(0.007),0.5(0.0),0.159(0.01),0.089(0.015),0.542(0.093),0.153(0.026)
n=1000,nu=0.75,ECP,0.299(0.06),0.467(0.085),0.364(0.07),0.055(0.108),0.075(0.146),0.063(0.124)
