,,,eta=0.5,eta=0.5,eta=0.5,eta=1,eta=1,eta=1
,,,precision,recall,f-score,precision,recall,f-score
n=500,nu=0.05,OT,0.913(0.099),1.0(0.0),0.952(0.055),1.0(0.0),1.0(0.0),1.0(0.0)
n=500,nu=0.05,MN,0.196(0.033),0.983(0.09),0.327(0.048),0.207(0.039),1.0(0.0),0.341(0.053)
n=500,nu=0.05,ECP,0.917(0.158),0.533(0.256),0.633(0.213),0.901(0.174),0.55(0.269),0.637(0.224)
n=500,nu=0.1,OT,0.887(0.099),1.0(0.0),0.937(0.055),0.98(0.06),1.0(0.0),0.989(0.033)
n=500,nu=0.1,MN,0.201(0.027),0.983(0.062),0.333(0.038),0.215(0.029),0.992(0.045),0.352(0.04)
n=500,nu=0.1,ECP,0.783(0.17),0.808(0.179),0.794(0.171),0.842(0.137),0.842(0.137),0.842(0.137)
n=1000,nu=0.05,OT,0.96(0.08),1.0(0.0),0.978(0.044),1.0(0.0),1.0(0.0),1.0(0.0)
n=1000,nu=0.05,MN,0.179(0.018),1.0(0.0),0.304(0.026),0.179(0.02),1.0(0.0),0.303(0.029)
n=1000,nu=0.05,ECP,0.948(0.108),0.892(0.201),0.902(0.165),0.863(0.189),0.85(0.189),0.847(0.189)
n=1000,nu=0.1,OT,0.905(0.102),0.992(0.045),0.944(0.065),1.0(0.0),1.0(0.0),1.0(0.0)
n=1000,nu=0.1,MN,0.184(0.02),1.0(0.0),0.31(0.028),0.184(0.019),1.0(0.0),0.31(0.026)
n=1000,nu=0.1,ECP,0.847(0.174),0.883(0.14),0.862(0.155),0.764(0.194),0.833(0.149),0.793(0.168)
