,,,eta=0.5,eta=0.5,eta=0.5,eta=1,eta=1,eta=1
,,,precision,recall,f-score,precision,recall,f-score
n=500,nu=0.05,OT,0.917(0.103),0.967(0.085),0.937(0.075),1.0(0.0),0.983(0.062),0.99(0.036)
n=500,nu=0.05,MN,0.2(0.028),1.0(0.0),0.332(0.038),0.207(0.039),1.0(0.0),0.341(0.053)
n=500,nu=0.05,ECP,0.956(0.119),0.567(0.273),0.668(0.226),0.977(0.07),0.617(0.301),0.707(0.24)
n=500,nu=0.1,OT,0.87(0.1),0.983(0.062),0.92(0.069),0.987(0.05),0.967(0.107),0.972(0.071)
n=500,nu=0.1,MN,0.205(0.027),1.0(0.0),0.339(0.037),0.217(0.029),1.0(0.0),0.356(0.04)
n=500,nu=0.1,ECP,0.915(0.113),0.942(0.106),0.927(0.104),0.992(0.045),0.992(0.045),0.992(0.045)
n=1000,nu=0.05,OT,0.96(0.08),0.983(0.062),0.968(0.053),1.0(0.0),0.975(0.075),0.986(0.043)
n=1000,nu=0.05,MN,0.179(0.018),1.0(0.0),0.304(0.026),0.179(0.02),1.0(0.0),0.303(0.029)
n=1000,nu=0.05,ECP,0.98(0.06),0.925(0.195),0.935(0.152),0.937(0.118),0.933(0.157),0.925(0.138)
n=1000,nu=0.1,OT,0.852(0.09),0.967(0.085),0.9(0.052),1.0(0.0),0.967(0.085),0.981(0.049)
n=1000,nu=0.1,MN,0.184(0.02),1.0(0.0),0.31(0.028),0.184(0.019),1.0(0.0),0.31(0.026)
n=1000,nu=0.1,ECP,0.955(0.108),1.0(0.0),0.973(0.066),0.911(0.131),1.0(0.0),0.948(0.078)
